First seen,Initial URL,Landing URL,Final URL
5/8/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app://launch/?utm_content=UL_hero&utm_source=sf&utm_medium=crm&utm_campaign=nl&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150&mktportal=NL&af_web_dp=//buildingcompetency[.]com/getit/[base64 string]/[internal IPv4 address]/[base64 string],hxxps://buildingcompetency[.]com/getit/[base64 string]/[internal IPv4 address]/[base64 string]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://[random prefix].workers[.]dev?qrc=[targeted email address]
5/8/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app://launch/?utm_content=UL_hero&utm_source=sf&utm_medium=crm&utm_campaign=nl&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150&mktportal=NL&af_web_dp=hxxps://banyan-edu[.]com/getit/[base64 string]/[internal IPv4 address]/[base64 string],hxxps://banyan-edu[.]com/getit/[base64 string]/[internal IPv4 address]/[base64 string]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://[random prefix].workers[.]dev?qrc=ammar_[targeted email address]
5/8/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app://launch/?utm_content=UL_hero&utm_source=sf&utm_medium=crm&utm_campaign=nl&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150&mktportal=NL&af_web_dp=hxxps://ethart[.]co[.]uk/getit/[base64 string]/[internal IPv4 address]/[base64 string],hxxps://ethart[.]co[.]uk/getit/[base64 string]/[internal IPv4 address]/[base64 string]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://[random prefix].workers[.]dev?qrc=[targeted email address]
5/9/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app://launch/?utm_content=UL_hero&utm_source=sf&utm_medium=crm&utm_campaign=nl&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150&mktportal=NL&af_web_dp=hxxps://rababnkhan[.]com/[random string]/[4-digit number]/new/new/[base64 string],hxxps://rababnkhan[.]com/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://[random prefix].rnequit[.]com/RctfUcwV/#[targeted email address]
5/9/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app://launch/?utm_content=UL_hero&utm_source=sf&utm_medium=crm&utm_campaign=nl&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150&mktportal=NL&af_web_dp=hxxps://singoffice[.]org/[random string]/[4-digit number]/new/new/[base64 string],hxxps://singoffice[.]org/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://[random prefix].rnequit[.]com/RctfUcwV/#[targeted email address]
5/9/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app%253A%252F%252Flaunch%252F%253futm_content%253dUL_hero%2526utm_source%253dsf%2526utm_medium%253dcrm%2526utm_campaign%253dnl%2526utm_term%253dXX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150%2526mktportal%253dNL&af_web_dp=hxxps://wmd[.]god21[.]net/ViewSwitcher/SwitchView?mobile=False&returnUrl=hxxp://14149-8963-8963[.]marksconstruction[.]space/home/8963/8963/8963/[targeted email address],hxxp://14149-8963-8963.marksconstruction[.]space/home/8963/8963/8963/[targeted email address],hxxps://[random prefix].rnequit[.]com/RctfUcwV/#[targeted email address]
5/9/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app%3A%2F%2Flaunch%2F%3futm_content%3dUL_hero%26utm_source%3dsf%26utm_medium%3dcrm%26utm_campaign%3dnl%26utm_term%3dXX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150%26mktportal%3dNL&af_web_dp=hxxps://djsherisn[.]sa[.]com/[random string]/[4-digit number]/new/new/[base64 string],hxxps://djsherisn.sa[.]com/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://[random prefix].itulate[.]com/DWoQ6nM/#[targeted email address]
5/9/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app%3A%2F%2Flaunch%2F%3futm_content%3dUL_hero%26utm_source%3dsf%26utm_medium%3dcrm%26utm_campaign%3dnl%26utm_term%3dXX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150%26mktportal%3dNL&af_web_dp=hxxps://matsyakanya[.]com/[random string]/[4-digit number]/new/new/[base64 string],hxxps://matsyakanya[.]com/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://[random prefix].itulate[.]com/DWoQ6nM/#[targeted email address]
5/9/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app%3A%2F%2Flaunch%2F%3futm_content%3dUL_hero%26utm_source%3dsf%26utm_medium%3dcrm%26utm_campaign%3dnl%26utm_term%3dXX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150%26mktportal%3dNL&af_web_dp=hxxps://veste4me[.]com[.]br/ndh/[random string]/[4-digit number]/new/new/[base64 string],hxxps://veste4me[.]com[.]br/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://[random prefix].uganion[.]com/sJoBQ/#[targeted email address]
5/9/2024,tracker.club-os[.]com/campaign/click?qDomYmsgId=d738c6bd137e6a03157c6c728cbc659e734fc398&test=false&target=csfinetreats[.]com/dacksign/MD5/6CHAR/[base64 string],hxxp://csfinetreats[.]com/dacksign/MD5/6CHAR/[base64 string],hxxps://cloudflare-ipfs[.]com/ipfs/bafkreibu7ontzbn4ze5b2azq526ats4xdkfjynlazoc42ftwu4vwqeu3sy#[targeted email address]
5/10/2024,edreams.onelink[.]me/p425?pid=CRM&af_adset=email&af_ad=crm_nl_X_NDR_INT_&is_retargeting=true&af_dp=ed-app://launch?utm_content=Appdynamic&utm_source=sf&utm_medium=crm&utm_campaign=nl&utm_term=XX-XX-CRM-E-NL-REC-FL-X-XX_Notdreaming_INTERNATIONAL_Recovery_DL&mktportal=NL&af_web_dp=hxxps://quetzalcitygt[.]com/css/1gmkfwcwxb/[base64 string],hxxps://quetzalcitygt[.]com/css/[base64 string]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_X_NDR_INT_&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-REC-FL-X-XX_Notdreaming_INTERNATIONAL_Recovery_DL,hxxps://email.parametter[.]rest/connectivities[.]html?more=[targeted email address]
5/10/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app://launch/?utm_content=UL_hero&utm_source=sf&utm_medium=crm&utm_campaign=nl&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150&mktportal=NL&af_web_dp=hxxps://closedwithchrissy[.]com/[random string]/[4-digit number]/new/new/[base64 string],hxxps://closedwithchrissy[.]com/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://[random prefix].uganion[.]com/sJoBQ/#[targeted email address]
5/10/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app%253A%252F%252Flaunch%252F%253futm_content%253dUL_hero%2526utm_source%253dsf%2526utm_medium%253dcrm%2526utm_campaign%253dnl%2526utm_term%253dXX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150%2526mktportal%253dNL&af_web_dp=hxxps://bmgfacil[.]net[.]br/[random string]/[4-digit number]/new/new/[base64 string],hxxps://bmgfacil[.]net[.]br/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true,hxxps://[random prefix].itulate[.]com/DWoQ6nM/#[targeted email address]
5/10/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app%253A%252F%252Flaunch%252F%253futm_content%253dUL_hero%2526utm_source%253dsf%2526utm_medium%253dcrm%2526utm_campaign%253dnl%2526utm_term%253dXX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150%2526mktportal%253dNL&af_web_dp=hxxps://imbaliblends[.]co[.]za/[random string]/[4-digit number]/new/new/[base64 string],hxxps://imbaliblends[.]co[.]za/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true,hxxps://[random prefix].arterti[.]com/VgJK/#[targeted email address]
5/10/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app%253A%252F%252Flaunch%252F%253futm_content%253dUL_hero%2526utm_source%253dsf%2526utm_medium%253dcrm%2526utm_campaign%253dnl%2526utm_term%253dXX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150%2526mktportal%253dNL&af_web_dp=hxxps://royalgourmet[.]com[.]br/[random string]/[4-digit number]/new/new/[base64 string],hxxps://royalgourmet[.]com[.]br/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true,hxxps://[random prefix].unpostin[.]com/6r1PDyJj/#[targeted email address]
5/10/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app%3A%2F%2Flaunch%2F%3futm_content%3dUL_hero%26utm_source%3dsf%26utm_medium%3dcrm%26utm_campaign%3dnl%26utm_term%3dXX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150%26mktportal%3dNL&af_web_dp=hxxps://aibuzzcentral[.]com/[random string]/[4-digit number]/new/new/[base64 string],hxxps://aibuzzcentral[.]com/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://just-caliberrshc[.]cloud/[targeted email address]
5/10/2024,tracker.club-os[.]com/campaign/click?msgId=d738c6bd137e6a03157c6c728cbc659e734fc398&test=false&target=neoparts.com[.]br/seyi/reh3/[base64 string],hxxp://neoparts.com[.]br/seyi/reh3/[base64 string],hxxps://[random prefix].x34t6[.]com/BmergB/#[targeted email address]
5/10/2024,tracker.club-os[.]com/campaign/click?qDomYmsgId=d738c6bd137e6a03157c6c728cbc659e734fc398&test=false&target=cryptochronicles[.]io//linux/[base64 string]/[targeted email address],hxxp://cryptochronicles[.]io//linux/[base64 string]/[targeted email address],hxxps://tracking-pastusuage[.]com/[targeted email address]
5/11/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app://launch/?utm_content=UL_hero&utm_source=sf&utm_medium=crm&utm_campaign=nl&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150&mktportal=NL&af_web_dp=hxxps://aibuzzcentral[.]com/[random string]/[4-digit number]/new/new/[base64 string],hxxps://aibuzzcentral[.]com/[random string]/[4-digit number]/new/new[targeted email address]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://uwm-onedrive[.]com/[targeted email address]
5/13/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app://launch/?utm_content=UL_hero&utm_source=sf&utm_medium=crm&utm_campaign=nl&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150&mktportal=NL&af_web_dp=hxxps://tunisietextile[.]tn/[random string]/[4-digit number]/new/new/[base64 string],hxxps://tunisietextile[.]tn/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://[random prefix].ableto7[.]com/TIeII8o/#[targeted email address]
5/13/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app%253A%252F%252Flaunch%252F%253futm_content%253dUL_hero%2526utm_source%253dsf%2526utm_medium%253dcrm%2526utm_campaign%253dnl%2526utm_term%253dXX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150%2526mktportal%253dNL&af_web_dp=hxxps://homeschoolmexico[.]education/shjbshjhjshjsbhsj/new/[base64 string],hxxps://homeschoolmexico[.]education/shjbshjhjshjsbhsj/new/bWFjLm1jZmFybGFuZEBjcmMuY29t?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true,hxxps://ozoneintegrale.com[.]br/ActiveToYvalidationformsO.3650fficeactive.html#[targeted email address]
5/13/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app%3A%2F%2Flaunch%2F%3futm_content%3dUL_hero%26utm_source%3dsf%26utm_medium%3dcrm%26utm_campaign%3dnl%26utm_term%3dXX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150%26mktportal%3dNL&af_web_dp=hxxps://tunisietextile[.]tn/[random string]/[4-digit number]/new/new/[base64 string],hxxps://tunisietextile[.]tn/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://[random prefix].uganion[.]com/sJoBQ/#[targeted email address]
5/14/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app%3A%2F%2Flaunch%2F%3futm_content%3dUL_hero%26utm_source%3dsf%26utm_medium%3dcrm%26utm_campaign%3dnl%26utm_term%3dXX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150%26mktportal%3dNL&af_web_dp=hxxps://seehimrimmed[.]com/[random string]/[4-digit number]/new/new/[base64 string],hxxps://seehimrimmed[.]com/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://[random prefix].ableto7[.]com/TIeII8o/#[targeted email address]
5/14/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app%3A%2F%2Flaunch%2F%3futm_content%3dUL_hero%26utm_source%3dsf%26utm_medium%3dcrm%26utm_campaign%3dnl%26utm_term%3dXX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150%26mktportal%3dNL&af_web_dp=hxxps://seehimrimmed[.]com/[random string]/[4-digit number]/new/new/[base64 string],hxxps://seehimrimmed[.]com/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://[random prefix].ableto7[.]com/TIeII8o/#[targeted email address]
